_id,_index,_score,_type,altitude,cellID,deviceBatteryLevel,deviceIMEI,eventCodes,gpsTime,ignition,ingestionTime,input1,input102,input103,input108,input109,input110,input117,input61,ioState,lac,latitude,location,locationReliable,longitude,mcc,mnc,numberOfSatellites,odometer,offsetRequired,orientation,speed,vehicleBatteryLevel
2_22533214787,device-sensor-data-v1-2020-7-2,,_doc,0,25562,0,358735074618900,,"July 2nd 2020, 13:04:35.000",FALSE,"July 2nd 2020, 13:04:37.000",,,,3124,,real-time,1,,10000000,7019,28.075,"28.075131,77.786942",TRUE,77.787,404,97,15,"3,44,99,348",TRUE,109,0,0
2_22533196485,device-sensor-data-v1-2020-7-2,,_doc,0,,0,358735074618900,,"July 2nd 2020, 13:04:09.000",FALSE,"July 2nd 2020, 13:04:09.000",0,100,1,3123,1000001,,1,100,10000000,,0,"0.0,0.0",FALSE,0,,,0,0,FALSE,0,0,0
2_22533193749,device-sensor-data-v1-2020-7-2,,_doc,0,25562,0,358735074618900,,"July 2nd 2020, 13:04:05.000",FALSE,"July 2nd 2020, 13:04:07.000",,,,3122,,real-time,1,,10000000,7019,28.075,"28.075131,77.786942",TRUE,77.787,404,97,15,"3,44,99,348",TRUE,109,0,0
2_22533173740,device-sensor-data-v1-2020-7-2,,_doc,0,25562,0,358735074618900,,"July 2nd 2020, 13:03:35.000",FALSE,"July 2nd 2020, 13:03:37.000",,,,3121,,real-time,1,,10000000,7019,28.075,"28.075131,77.786942",TRUE,77.787,404,97,15,"3,44,99,348",TRUE,109,0,0
2_22533155589,device-sensor-data-v1-2020-7-2,,_doc,0,,0,358735074618900,,"July 2nd 2020, 13:03:09.000",FALSE,"July 2nd 2020, 13:03:09.000",0,100,1,3120,1000001,,1,100,10000000,,0,"0.0,0.0",FALSE,0,,,0,0,FALSE,0,0,0
2_22533154178,device-sensor-data-v1-2020-7-2,,_doc,0,25562,0,358735074618900,,"July 2nd 2020, 13:03:05.000",FALSE,"July 2nd 2020, 13:03:07.000",,,,3119,,real-time,1,,10000000,7019,28.075,"28.075131,77.786942",TRUE,77.787,404,97,15,"3,44,99,348",TRUE,109,0,0
2_22533133079,device-sensor-data-v1-2020-7-2,,_doc,0,25562,0,358735074618900,,"July 2nd 2020, 13:02:35.000",FALSE,"July 2nd 2020, 13:02:37.000",,,,3118,,real-time,1,,10000000,7019,28.075,"28.075131,77.786942",TRUE,77.787,404,97,15,"3,44,99,348",TRUE,109,0,0
2_22533114838,device-sensor-data-v1-2020-7-2,,_doc,0,,0,358735074618900,,"July 2nd 2020, 13:02:09.000",FALSE,"July 2nd 2020, 13:02:09.000",0,100,1,3117,1000001,,1,100,10000000,,0,"0.0,0.0",FALSE,0,,,0,0,FALSE,0,0,0
2_22533113442,device-sensor-data-v1-2020-7-2,,_doc,0,25562,0,358735074618900,,"July 2nd 2020, 13:02:05.000",FALSE,"July 2nd 2020, 13:02:07.000",,,,3116,,real-time,1,,10000000,7019,28.075,"28.075131,77.786942",TRUE,77.787,404,97,15,"3,44,99,348",TRUE,109,0,0
2_22533092375,device-sensor-data-v1-2020-7-2,,_doc,0,25562,0,358735074618900,,"July 2nd 2020, 13:01:35.000",FALSE,"July 2nd 2020, 13:01:37.000",,,,3115,,real-time,1,,10000000,7019,28.075,"28.075131,77.786942",TRUE,77.787,404,97,15,"3,44,99,348",TRUE,109,0,0
